date,close
2026-01-02,150.18
2026-01-03,152.21
2026-01-04,151.62
2026-01-05,152.44
2026-01-06,151.66
2026-01-07,151.45
2026-01-08,154.19
2026-01-09,154.80
2026-01-10,154.48
2026-01-11,154.79
2026-01-12,156.11
2026-01-13,156.73
2026-01-14,157.81
2026-01-15,156.46
2026-01-16,155.57
2026-01-17,155.17
2026-01-18,154.35
2026-01-19,153.13
2026-01-20,151.06
2026-01-21,150.31
2026-01-22,150.20
2026-01-23,150.50
2026-01-24,151.01
2026-01-25,149.27
2026-01-26,148.69
2026-01-27,149.03
2026-01-28,150.51
2026-01-29,150.01
2026-01-30,149.30
2026-01-31,146.59
2026-02-01,146.11
2026-02-02,144.35
2026-02-03,143.22
2026-02-04,144.16
2026-02-05,141.25
2026-02-06,142.21
2026-02-07,143.22
2026-02-08,143.31
2026-02-09,143.54
2026-02-10,143.63
2026-02-11,144.86
2026-02-12,145.26
2026-02-13,145.04
2026-02-14,144.10
2026-02-15,142.52
2026-02-16,142.55
2026-02-17,142.34
2026-02-18,143.95
2026-02-19,141.62
2026-02-20,139.93
2026-02-21,138.96
2026-02-22,137.31
2026-02-23,139.83
2026-02-24,136.91
2026-02-25,136.11
2026-02-26,135.61
2026-02-27,138.08
2026-02-28,136.33
2026-03-01,137.24
2026-03-02,135.94
2026-03-03,135.85
2026-03-04,135.76
2026-03-05,136.90
2026-03-06,135.38
2026-03-07,134.80
2026-03-08,135.27
2026-03-09,137.94
2026-03-10,135.73
2026-03-11,137.13
2026-03-12,137.69
2026-03-13,137.23
2026-03-14,138.22
2026-03-15,138.14
2026-03-16,139.68
2026-03-17,139.42
2026-03-18,139.26
2026-03-19,139.66
2026-03-20,139.87
2026-03-21,139.41
2026-03-22,137.95
2026-03-23,140.29
2026-03-24,138.84
2026-03-25,135.31
2026-03-26,134.90
2026-03-27,134.25
2026-03-28,134.74
2026-03-29,135.16
2026-03-30,135.43
2026-03-31,135.53
2026-04-01,136.10
2026-04-02,135.69
2026-04-03,135.93
2026-04-04,138.50
2026-04-05,138.81
2026-04-06,137.23
2026-04-07,139.87
2026-04-08,141.37
2026-04-09,141.16
2026-04-10,139.59
2026-04-11,139.43
2026-04-12,138.60
2026-04-13,138.08
2026-04-14,137.09
2026-04-15,136.26
2026-04-16,136.99
2026-04-17,136.59
2026-04-18,135.65
2026-04-19,136.82
2026-04-20,136.62
2026-04-21,137.05
2026-04-22,138.45
2026-04-23,138.92
2026-04-24,139.19
2026-04-25,138.87
2026-04-26,137.13
2026-04-27,137.95
2026-04-28,140.11
2026-04-29,140.73
2026-04-30,140.20
2026-05-01,139.42
